"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Jake Browning","CINhigh","47.8","31.0","336.6","2.3","1.5","5.4","25.5","0.3","0.2","25.1"
"","high","71.7","45.0","497.1","3.6","1.0","7.9","35.0","0.6","0.0","37.1"
"Carson Wentz","KChigh","48.6","30.8","326.9","2.6","1.4","5.2","22.5","0.2","0.3","24.7"
"","high","72.2","45.6","481.8","4.3","1.0","6.4","27.1","0.3","0.0","36.3"
"Mitchell Trubisky","BUFhigh","45.7","29.7","308.2","2.0","1.4","8.0","31.1","0.5","0.2","24.2"
"","high","69.4","45.3","462.3","2.9","1.0","11.1","40.2","0.9","0.0","35.5"
"Joshua Dobbs","SFhigh","40.6","26.9","305.0","2.2","0.8","6.0","28.7","0.3","0.4","23.9"
"","high","62.1","40.8","438.1","3.4","0.0","7.0","36.4","0.5","0.0","33.7"
"Cooper Rush","DALhigh","48.2","30.5","337.9","2.4","1.4","5.7","10.0","0.1","0.3","22.9"
"","high","72.4","46.1","509.7","3.9","1.0","6.3","15.9","0.2","0.0","34.3"
"Marcus Mariota","WAShigh","46.8","29.1","319.7","1.5","1.5","8.3","44.1","0.3","0.4","22.7"
"","high","71.5","44.2","494.4","2.0","1.0","12.6","71.2","0.6","0.0","33.1"
"Jimmy Garoppolo","LARhigh","44.3","29.2","345.1","2.3","1.4","3.7","12.2","0.1","0.2","22.7"
"","high","68.7","45.5","544.1","3.5","1.0","4.0","17.0","0.2","0.0","33.4"
"Tyson Bagent","CHIhigh","45.3","29.6","315.7","2.0","1.4","5.8","25.7","0.2","0.3","22.6"
"","high","69.5","45.2","485.4","3.0","1.0","7.7","33.4","0.5","0.0","33.1"
"Josh Johnson","BALhigh","42.7","26.7","293.6","1.9","1.4","8.8","37.0","0.3","0.3","22.5"
"","high","66.4","41.3","439.2","2.8","1.0","12.7","48.0","0.5","0.0","32.1"
"Tyrod Taylor","NYJhigh","45.3","28.3","296.8","2.2","0.9","5.7","26.9","0.1","0.3","22.4"
"","high","67.6","41.6","443.7","3.4","0.0","7.4","38.8","0.2","0.0","31.9"
"Kenny Pickett","PHIhigh","43.8","28.6","309.5","2.0","1.2","7.1","24.8","0.2","0.2","22.4"
"","high","66.7","43.1","463.0","2.9","1.0","9.2","25.0","0.5","0.0","32.0"
"Mac Jones","JAChigh","46.6","31.4","335.0","2.0","1.4","5.4","18.6","0.1","0.2","21.8"
"","high","70.2","46.8","506.9","3.0","1.0","6.8","22.1","0.1","0.0","31.2"
"Easton Stick","LAChigh","43.3","26.4","286.9","2.0","0.8","6.1","30.2","0.1","0.3","21.6"
"","high","63.5","38.9","422.8","3.0","0.0","8.1","37.4","0.2","0.0","29.7"
"Michael Penix Jr.","ATLhigh","42.5","26.5","297.9","2.3","0.9","3.4","12.6","0.1","0.3","21.4"
"","high","68.9","42.1","471.8","3.5","0.0","4.8","15.1","0.2","0.0","31.3"
"Jameis Winston","CLEhigh","46.6","27.9","317.5","1.7","1.4","6.5","23.1","0.1","0.2","20.7"
"","high","69.1","41.7","475.9","2.5","1.0","7.9","26.1","0.2","0.0","28.5"
"Kyle Trask","TBhigh","44.7","26.9","286.9","2.1","0.9","5.5","15.2","0.1","0.3","20.7"
"","high","70.5","43.8","473.9","3.2","0.0","6.9","27.4","0.2","0.0","31.6"
"Andy Dalton","CARhigh","45.4","29.1","304.1","1.8","0.9","4.7","18.6","0.1","0.2","20.6"
"","high","69.9","45.2","486.3","2.7","0.0","5.5","20.2","0.2","0.0","29.3"
"Desmond Ridder","ARIhigh","46.8","30.4","319.6","1.6","1.3","5.7","24.3","0.3","0.9","20.3"
"","high","70.6","45.7","495.1","2.3","1.0","7.4","28.7","0.5","0.8","30.9"
"Mike White","MIAhigh","47.2","30.1","328.7","1.7","1.6","4.2","7.8","0.1","0.2","19.2"
"","high","72.4","45.3","485.3","2.4","1.0","4.4","11.6","0.2","0.0","26.3"
"Joe Flacco","INDhigh","42.8","26.5","290.5","1.6","0.8","5.0","19.1","0.1","0.8","18.1"
"","high","64.6","40.1","434.0","2.2","0.0","5.0","20.0","0.2","0.6","25.1"
"Davis Mills","HOUhigh","22.0","13.0","156.0","1.0","0.0","4.0","14.0","0.0","0.0","11.6"
"","high","22.0","13.0","156.0","1.0","0.0","4.0","14.0","0.0","0.0","8.0"
"Trey Lance","DALhigh","24.0","15.0","159.0","1.0","1.0","5.0","18.0","0.0","0.0","11.2"
"","high","24.0","15.0","159.0","1.0","1.0","5.0","18.0","0.0","0.0","7.0"
"Gavin Hardison","MIAhigh","16.0","11.0","129.0","1.0","0.0","2.0","9.0","0.0","0.0","10.1"
"","high","16.0","11.0","129.0","1.0","0.0","2.0","9.0","0.0","0.0","8.0"
"Michael Pratt","GBhigh","16.0","11.0","121.0","1.0","0.0","2.0","8.0","0.0","0.0","9.6"
"","high","16.0","11.0","121.0","1.0","0.0","2.0","8.0","0.0","0.0","8.0"
"Spencer Rattler","NOhigh","17.0","11.0","120.0","1.0","0.0","2.0","8.0","0.0","0.0","9.6"
"","high","17.0","11.0","120.0","1.0","0.0","2.0","8.0","0.0","0.0","8.0"
"Carter Bradley","LVhigh","16.0","10.0","106.0","1.0","0.0","2.0","7.0","0.0","0.0","8.9"
"","high","16.0","10.0","106.0","1.0","0.0","2.0","7.0","0.0","0.0","8.0"
"Nathan Rourke","NYGhigh","15.0","10.0","96.0","1.0","0.0","2.0","8.0","0.0","0.0","8.6"
"","high","15.0","10.0","96.0","1.0","0.0","2.0","8.0","0.0","0.0","7.0"
"Malik Cunningham","BALhigh","0.0","0.0","0.0","0.0","0.0","1.0","5.0","0.0","0.0","0.5"
"","high","0.0","0.0","0.0","0.0","0.0","1.0","5.0","0.0","0.0","12.0"
""
""
